"Data Source","World Development Indicators",
"Europe & Central Asia","ECS","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.33","25.605","27.025","27.52","27.79","26.46","26.29","24.16","24.62","24.76","24.54","24.185","24.05","22.86","22.435","23.54","22.56","",
"Ecuador","ECU","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.44","10.56","11","11.86","11.95","11.92","12.27","12.65","12.91","11.96","11.57","11.51","10.96","9.68","9.49","9.74","","",
"Egypt, Arab Rep.","EGY","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.8","3.81","3.92","4.21","4.46","4.58","4.61","4.62","4.57","4.56","4.56","4.61","4.74","4.88","4.99","6.64","6.76","",
"Euro area","EMU","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.61","31.88","33.75","37.36","36.61","35.35","34.18","32.76","26.63","26.89","27.98","26.84","24.62","22.86","20.87","19.89","18.695","",
"Eritrea","ERI","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.43","99.19","101.83","104.34","103.97","99.3","95.93","88.42","83.89","73.61","69.68","67.51","61.81","58.57","55.11","49.6","45.53","",
"Estonia","EST","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.41","20.88","22.63","24.02","23.82","20.28","19.47","17.35","16.02","13.95","12.39","11.15","10.42","10.06","9.68","8.93","7.92","",
"Ethiopia","ETH","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.84","0.92","0.95","1.09","1.21","1.33","1.37","1.91","2.94","","","","","","","","","",
"European Union","EUU","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.665","29.865","32.55","33.295","35.36","35.35","34.18","32.76","33.2","30.01","27.98","26.84","24.62","22.86","21.26","23.42","20.865","",
"Fragile and conflict affected situations","FCS","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.79","1.83","1.96","2.01","1.99","2.16","2.33","2.54","2.745","3.16","3.2","3.315","3.245","3.32","3.37","3.75","3.925","",
"Finland","FIN","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.17","14.41","16.95","16.09","16.02","14.97","15.5","17.02","15.5","14.1","9.42","8.49","7.31","6.46","4.8","4.49","4.02","",
"Fiji","FJI","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.26","9.64","10.58","11.29","11.61","11.27","11.14","10.94","10.6","11.28","12.62","12.8","12.4","12.15","11.88","11.28","10.69","",
"France","FRA","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.58","22.01","45.91","44.91","44.58","41.94","41.59","41.39","39","38.63","38.06","37.6","37.19","35.98","34.79","34.17","33.2","",
"Faroe Islands","FRO","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.34","12.33","12.26","12.24","12.23","15.23","15.11","14.9","14.6","14.27","13.95","13.67","13.41","13.19","13","12.82","12.64","",
"Gabon","GAB","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.03","4","4.08","3.93","4.3","4.72","5.29","8.96","9.29","","","","","","","","",
"United Kingdom","GBR","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.03","28.32","26.43","26.38","26.03","25.41","24.7","24.06","22.08","25.14","","","","","","","","",
"Georgia","GEO","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.16","11.68","14","17.04","21.81","20.72","21.21","23.6","27.98","32.88","32.4","32.17","32.72","33.23","31.52","33.58","31.72","",
"Ghana","GHA","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.04","3.2","3.56","4.51","4.7","5.02","5.28","5.29","5.57","5.72","5.94","6.98","6.98","8.42","8.54","8.3","6.14","",
"Gibraltar","GIB","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.76","0.74","0.85","0.93","1.15","1.35","1.48","1.63","1.8","1.87","2.51","2.78","2.75","2.76","2.78","2.73","2.73","",
"Gambia, The","GMB","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4.22","4.9","5.75","6.87","7.16","8.74","8.47","8.1","8.49","8.3","8.38","7.54","6.9","7.71","7.09","7.23","",
"Guinea-Bissau","GNB","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.14","0.27","0.39","0.5","1.22","1.9","1.96","2.36","2.51","2.76","2.69","3.31","3.23","3.14","3.05","3.78","4.11","",
"Equatorial Guinea","GNQ","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.54","2.65","2.94","3","3.04","3.08","3.27","3.29","3.92","3.89","4.44","4.93","","5.43","6.44","6.43","6.54","",
"Greece","GRC","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.04","35.19","38.05","40.14","42.62","42.29","41.33","39.67","37.74","32.55","28.18","26.84","24.62","22.86","20.87","19.24","18.22","",
"Grenada","GRD","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.41","33.23","32.76","32.33","31.9","31.44","30.95","31.96","32.87","32.55","32.29","32.09","23.63","23.54","23.48","23.41","22.15","",
"Greenland","GRL","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.11","17.92","17.61","28.09","30.85","33.39","34.25","35.09","35.73","36.1","35.95","35.9","34.94","34.19","27.69","25.56","24.3","",
"Guam","GUM","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.11","6.1","6.24","6.36","6.48","6.59","6.69","7.38","7.66","8.13","8.4","8.48","8.39","8.31","8.23","8.15","8.09","",
"High income","HIC","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.49","25.5","26.3","25.315","26.03","25.22","24.06","23.83","23.27","22.82","22.18","22.015","21.535","20.73","20.44","19.89","18.48","",
"Hong Kong SAR, China","HKG","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.55","23.24","23.06","23.42","23.8","23.52","23.84","23.83","23.27","22.82","22.56","22.17","21.46","21.04","21.19","20.98","20.23","",
"Honduras","HND","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.27","16.02","17.95","21.37","22.68","21.77","19.09","19.35","21.21","21.49","21.32","19.31","19.51","19.44","18.89","18.39","16.1","",
"Heavily indebted poor countries (HIPC)","HPC","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.15","1.21","1.28","1.715","2.155","2.475","2.745","2.635","3","3.33","3.39","3.37","3.26","3.345","3.32","3.78","4.055","",
"Croatia","HRV","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.74","31.66","31.69","33.62","35.36","36.71","36.18","35.91","35.58","34.59","33.82","33.49","32.73","32.25","30.05","28.36","27.09","",
"Haiti","HTI","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.18","3.17","3.1","2.96","2.91","2.9","2.48","2.63","2.72","2.71","2.7","2.69","2.63","2.66","2.69","2.72","2.62","",
"Hungary","HUN","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.79","14.81","16.15","17.34","17.99","17.65","16.78","16.44","16.08","15.41","15.5","15.13","14.71","14.64","14.2","23.42","23.36","",
"IBRD only","IBD","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3","11.42","12.06","13.19","14","13.68","13.79","14.71","14.89","14.83","15.04","14.495","15.155","14.51","14.5","14.39","13.795","",
"IDA & IBRD total","IBT","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.87","5.285","5.32","5.75","6.58","6.82","6.75","7.31","7.93","8.25","8.45","8.57","8.81","8.81","9.29","9.1","9","",
"IDA total","IDA","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.81","1.83","1.91","2.045","2.45","2.775","3.185","3.49","3.52","3.845","3.74","4.005","4.36","4.535","4.47","4.5","4.53","",
"IDA blend","IDB","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.79","3.255","2.69","3.51","3.41","4.36","4.65","4.92","5.19","5.28","5.48","4.98","4.83","5.08","5.24","4.785","4.56","",
"Indonesia","IDN","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.16","5.27","5.72","5.97","6.58","7.64","8.11","14.71","16.87","17.64","17.83","17.64","17.26","16.75","16.14","15.64","15.22","",
"IDA only","IDX","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.79","1.68","1.705","2.04","2.41","2.71","3.06","3.29","3.33","3.59","3.505","3.65","3.725","4.3","4.075","4.1","4.53","",
"Isle of Man","IMN","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.93","8.89","8.86","8.97","9.28","9.57","10","10.47","11.14","11.81","12.82","13.52","14.21","14.51","14.5","14.58","14.74","",
"Not classified","INX","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.72","34.4","33.75","32.97","33.52","34.16","27.99","27","24.43","22.79","21.8","21.86","21.61","20.75","20.44","19.89","19.17","",
"Iran, Islamic Rep.","IRN","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.72","28.2","27.98","28.11","28.9","28.55","26.32","29.6","29.68","29.37","32.31","31.33","31.65","28.59","31.09","","","",
"Iraq","IRQ","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.17","0.17","3.4","3.39","3.41","4.82","5.29","5.1","5.52","5.4","5.25","4.86","4.05","3.97","4.38","3.94","3.85","",
"Iceland","ISL","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.9","86.18","77.58","73.31","69.68","60.84","57.56","52.21","47.15","43.14","40.3","36.42","35.47","34.58","31.47","30.37","28.11","",
"Israel","ISR","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.79","19.6","19.4","19.45","19.82","19.68","21.55","21.87","21.85","21.48","20.85","20.07","18.87","17.89","17.35","16.76","16.15","",
"Italy","ITA","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.21","56.77","58.01","59.18","62.62","59.71","58.44","58.01","56.48","53.3","50.81","49.82","47.63","44.61","40.89","39.16","37.63","",
"Jamaica","JAM","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.98","6.74","6.7","6.66","6.82","6.48","6.14","6.02","5.94","5.63","5.1","5.18","5.14","6.67","6.35","6.48","6.35","",
"Jordan","JOR","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.2","17.75","16.96","17","16.74","16.4","16.72","16.57","16.19","15.72","15.35","15.07","14.86","14.42","14.53","14.39","14.09","",
"Japan","JPN","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.61","34.38","34.12","33.9","33.85","33.81","33.82","33.9","33.95","33.91","33.9","34.14","34.1","34","34.01","33.92","33.92","",
"Kazakhstan","KAZ","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.73","3.95","3.08","3.29","3.47","3.37","3.26","3.32","3.29","3.27","3.39","2.96","2.95","2.81","2.49","2.49","2.4","",
"Kenya","KEN","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7","2.6","2.69","3.51","4.07","4.36","4.65","4.92","5.19","5.28","5.48","5.59","5.37","5.21","5","4.79","4.67","",
"Kyrgyz Republic","KGZ","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.14","5.3","5.32","6.41","6.82","6.91","6.1","7.16","7.71","7.85","7.89","8.28","8.43","8.18","8.09","7.96","7.55","",
"Cambodia","KHM","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.33","3.03","3.14","3.96","4.12","4.28","4.49","4.77","5.69","6.12","7.24","7.52","7.84","8.3","11.6","",
"Kiribati","KIR","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.99","5.87","5.74","","","","","","","","",
"St. Kitts and Nevis","KNA","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.56","56.8","56.11","55.46","59.84","59.19","58.55","48.26","50.11","49.57","44.37","43.92","41.21","36.28","37.71","37.1","37.1","",
"Korea, Rep.","KOR","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.8","17.33","17.82","18.31","18.7","18.19","18.18","18.22","18.31","18.02","17.2","16.75","16.24","15.44","15.27","15.1","14.37","",
"Kuwait","KWT","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.82","13.75","14.58","15.4","15.48","15.84","15.71","15.94","14.8","15.35","15.27","14.79","14.67","14.59","14.72","13.58","13.6","",
"Latin America & Caribbean (excluding high income)","LAC","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.245","10.29","10.5","12.23","13.12","12.455","12.655","12.895","13.065","12.605","12.445","12.965","13.345","13.785","13.675","13.59","13.21","",
"Lao PDR","LAO","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.48","2.35","2.54","2.55","2.7","2.73","2.88","2.9","3","3.09","3.17","3.21","3.21","",
"Lebanon","LBN","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.98","26.86","26.35","26.45","26.45","26.51","26.29","26","24.86","24","23.55","23.01","22.56","22.25","22.27","21.66","20.32","",
"Liberia","LBR","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.84","1.12","1.66","2.95","3.65","3.75","3.68","3.82","3.74","3.05","2.96","2.98","3.17","3.08","2.88","",
